### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| LDOUSDT       | 0.0009884     | 0.001711    | 0.1103       | 0.0474          | 107.4         | 0.01542      | 0.02087     | 0.1471                  | 0.04854        | 352.46  | 1297211.49901 |
| LINKUSDT      | 0.0009762     | 0.002644    | 0.09461      | 0.04718         | 142.0         | 0.01433      | 0.018       | 0.1432                  | 0.03279        | 1332.62 | 1297211.49902 |
| EGLDUSDT      | 0.0009721     | 0.002173    | 0.08966      | 0.05122         | 126.8         | 0.01418      | 0.01955     | 0.1386                  | 0.0143         | 1091.67 | 1297211.49903 |
| AXSUSDT       | 0.0009745     | 0.003351    | 0.1144       | 0.06594         | 105.3         | 0.01758      | 0.02072     | 0.1496                  | 0.06164        | 1023.67 | 1297211.49903 |
| BCHUSDT       | 0.0009736     | 0.001384    | 0.03431      | 0.01773         | 73.33         | 0.006545     | 0.01071     | 0.06119                 | 0.04           | 1348.96 | 1297211.49903 |
| CKBUSDT       | 0.0009668     | 0.001382    | 0.07799      | 0.006891        | 124.7         | 0.012        | 0.0115      | 0.06567                 | 0.02779        | 193.46  | 1297211.49903 |
| ARBUSDT       | 0.0009589     | 0.001271    | 0.04816      | 0.01565         | 132.1         | 0.0106       | 0.01062     | 0.07958                 | 0.01496        | 170.33  | 1297211.49904 |
| APEUSDT       | 0.0009526     | 0.001601    | 0.06965      | 0.04148         | 129.3         | 0.01539      | 0.01973     | 0.1302                  | 0.02499        | 541.33  | 1297211.49905 |
| ADAUSDT       | 0.0009487     | 0.001665    | 0.04756      | 0.03852         | 63.27         | 0.008331     | 0.01532     | 0.08991                 | 0.04845        | 1318.62 | 1297211.49905 |
| STMXUSDT      | 0.0009504     | 0.001676    | 0.07075      | 0.03461         | 135.6         | 0.01507      | 0.02069     | 0.1367                  | 0.04683        | 901.67  | 1297211.49905 |
| REEFUSDT      | 0.0009465     | 0.001949    | 0.1004       | 0.04652         | 122.5         | 0.01927      | 0.02468     | 0.1483                  | 0.0315         | 929.67  | 1297211.49905 |
| HFTUSDT       | 0.0009308     | 0.001162    | 0.04646      | 0.01491         | 105.5         | 0.01404      | 0.01524     | 0.09755                 | 0.06619        | 156.46  | 1297211.49907 |
| XLMUSDT       | 0.0009171     | 0.001922    | 0.0663       | 0.04657         | 84.18         | 0.008464     | 0.02623     | 0.146                   | 0.02281        | 1329.62 | 1297211.49908 |
| XEMUSDT       | 0.0009109     | 0.001891    | 0.06643      | 0.04096         | 139.1         | 0.01466      | 0.02134     | 0.1427                  | 0.01899        | 920.67  | 1297211.49909 |
| QNTUSDT       | 0.0009059     | 0.001772    | 0.1213       | 0.08246         | 137.6         | 0.01389      | 0.01751     | 0.1001                  | 0.03158        | 324.88  | 1297211.49909 |
| ZRXUSDT       | 0.0009137     | 0.001469    | 0.05977      | 0.03163         | 68.27         | 0.01241      | 0.02092     | 0.1358                  | 0.056          | 1173.58 | 1297211.49909 |
| AVAXUSDT      | 0.0008996     | 0.002563    | 0.04933      | 0.02602         | 74.43         | 0.009887     | 0.01471     | 0.1139                  | 0.0185         | 1082.67 | 1297211.4991  |
| SPELLUSDT     | 0.000889      | 0.001189    | 0.06359      | 0.04172         | 85.9          | 0.009664     | 0.01375     | 0.08615                 | 0.02576        | 368.46  | 1297211.49911 |
| DENTUSDT      | 0.0008939     | 0.002118    | 0.0687       | 0.02764         | 113.1         | 0.01277      | 0.01938     | 0.1192                  | 0.02754        | 899.79  | 1297211.49911 |
| ONEUSDT       | 0.0008906     | 0.001955    | 0.08723      | 0.03423         | 110.8         | 0.01732      | 0.01955     | 0.1478                  | 0.06651        | 905.67  | 1297211.49911 |
| IDEXUSDT      | 0.0008798     | 0.001062    | 0.08166      | 0.05566         | 59.23         | 0.01089      | 0.01308     | 0.08735                 | 0.02237        | 129.46  | 1297211.49912 |
| ETHUSDT       | 0.000852      | 0.001975    | 0.07836      | 0.04889         | 95.68         | 0.009386     | 0.01816     | 0.09438                 | 0.0161         | 1348.96 | 1297211.49915 |
| UMAUSDT       | 0.0008455     | 0.001081    | 0.0762       | 0.009184        | 98.38         | 0.009639     | 0.008851    | 0.05437                 | 0.0385         | 122.46  | 1297211.49915 |
| STORJUSDT     | 0.0008483     | 0.001349    | 0.03441      | 0.01778         | 101.0         | 0.01435      | 0.02194     | 0.1355                  | 0.01246        | 1089.67 | 1297211.49915 |
| QTUMUSDT      | 0.0008435     | 0.001602    | 0.09772      | 0.02705         | 124.7         | 0.01671      | 0.01985     | 0.1385                  | 0.05321        | 1298.62 | 1297211.49916 |
