### single symbol backtest metrics ###

update: 2023-10-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
| UMAUSDT       | 0.0007791     | 0.001065    | 0.1206       | 0.0076          | 83.92         | 0.009925     | 0.01057     | 0.06984                 | 0.05259        | 142.5   | 1297211.49922 |
| 1000SHIBUSDT  | 0.0007727     | 0.002166    | 0.03517      | 0.004251        | 121.0         | 0.008234     | 0.009306    | 0.05351                 | 0.0005003      | 872.29  | 1297211.49923 |
| DENTUSDT      | 0.0007661     | 0.002027    | 0.06816      | 0.009422        | 130.5         | 0.01475      | 0.01851     | 0.1087                  | 0.06035        | 919.83  | 1297211.49923 |
| ZILUSDT       | 0.0007715     | 0.001816    | 0.09631      | 0.06236         | 114.8         | 0.01744      | 0.02494     | 0.1496                  | 0.03257        | 1198.62 | 1297211.49923 |
| LDOUSDT       | 0.0007572     | 0.001366    | 0.07547      | 0.003691        | 137.6         | 0.01206      | 0.01556     | 0.08944                 | 0.0739         | 372.5   | 1297211.49924 |
| FILUSDT       | 0.0007623     | 0.001289    | 0.07998      | 0.01512         | 142.4         | 0.01665      | 0.02286     | 0.1432                  | 0.06037        | 1077.75 | 1297211.49924 |
| MINAUSDT      | 0.0007538     | 0.001637    | 0.1043       | 0.05595         | 57.95         | 0.01188      | 0.02141     | 0.1274                  | 0.04207        | 234.54  | 1297211.49925 |
| KEYUSDT       | 0.0007471     | 0.001101    | 0.04324      | 0.01815         | 72.57         | 0.00748      | 0.01132     | 0.06502                 | 0.009982       | 128.5   | 1297211.49925 |
| DEFIUSDT      | 0.0007401     | 0.001651    | 0.1046       | 0.04793         | 120.9         | 0.01461      | 0.02232     | 0.1482                  | 0.09327        | 1126.71 | 1297211.49926 |
| API3USDT      | 0.0007355     | 0.001018    | 0.05093      | 0.004702        | 112.0         | 0.01348      | 0.01339     | 0.06987                 | 0.09858        | 584.88  | 1297211.49926 |
| PENDLEUSDT    | 0.0007307     | 0.0009783   | 0.06343      | 0.0006515       | 97.37         | 0.01492      | 0.01173     | 0.0545                  | 0.0019         | 63.92   | 1297211.49927 |
| FLMUSDT       | 0.0007177     | 0.001201    | 0.05521      | 0.02265         | 127.3         | 0.01903      | 0.02433     | 0.1493                  | 0.06797        | 1094.71 | 1297211.49928 |
| SXPUSDT       | 0.000715      | 0.002121    | 0.05136      | 0.0008579       | 124.5         | 0.01719      | 0.02133     | 0.1283                  | 0.03525        | 1165.62 | 1297211.49928 |
| TLMUSDT       | 0.0007237     | 0.0007701   | 0.1344       | 0.07809         | 109.7         | 0.01424      | 0.01726     | 0.09372                 | 0.09395        | 183.5   | 1297211.49928 |
| RENUSDT       | 0.0007025     | 0.001254    | 0.05991      | 0.0064          | 115.6         | 0.01952      | 0.02575     | 0.1487                  | 0.02138        | 1080.71 | 1297211.4993  |
| QTUMUSDT      | 0.0006882     | 0.001327    | 0.07637      | 0.02365         | 129.6         | 0.01421      | 0.01845     | 0.1173                  | 0.02484        | 1317.67 | 1297211.49931 |
| BANDUSDT      | 0.000691      | 0.001596    | 0.05213      | 0.009321        | 129.1         | 0.01422      | 0.01748     | 0.1042                  | 0.07054        | 1157.71 | 1297211.49931 |
| SSVUSDT       | 0.0006878     | 0.001051    | 0.08729      | 0.02088         | 140.3         | 0.01958      | 0.01972     | 0.1077                  | 0.01981        | 217.5   | 1297211.49931 |
| LUNA2USDT     | 0.0006757     | 0.0009424   | 0.07021      | 0.06192         | 46.7          | 0.01384      | 0.02732     | 0.1169                  | 0.0749         | 384.88  | 1297211.49932 |
| CHZUSDT       | 0.0006766     | 0.001518    | 0.0589       | 0.01483         | 137.7         | 0.01502      | 0.02325     | 0.1444                  | 0.03502        | 980.71  | 1297211.49932 |
| XTZUSDT       | 0.0006791     | 0.001623    | 0.06531      | 0.02728         | 135.8         | 0.0121       | 0.0187      | 0.1235                  | 0.0173         | 1331.67 | 1297211.49932 |
| MTLUSDT       | 0.0006733     | 0.001185    | 0.06892      | 0.003743        | 87.62         | 0.01961      | 0.02078     | 0.1187                  | 0.06637        | 912.71  | 1297211.49933 |
| CTSIUSDT      | 0.000653      | 0.001076    | 0.06508      | 0.006748        | 116.7         | 0.01542      | 0.01859     | 0.1109                  | 0.03781        | 703.88  | 1297211.49935 |
